Instagram ID,Username,Full name,Profile link,Avatar pic,Followed by viewer,Is verified,Followers count,Following count,Biography,Public email,Posts count,Phone country code,Phone number,City,Address,Is private,Is business,External url
11055762599,mrvetanimalhospital,Mrvet AnimalHospital,https://www.instagram.com/mrvetanimalhospital/,https://instagram.fmaa8-1.fna.fbcdn.net/v/t51.2885-19/343742849_603559155124486_3538261444806329983_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fmaa8-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2AHE2GRycTwMsdIZVR1y44VgSUUZLqBUi1M3Rr8S0p2DX37Qtv3V7P8Z7b8qmOYkr3I&_nc_ohc=7D4eevSHp44Q7kNvgEmM6xA&_nc_gid=6574103e8b7b4279b3af78dba9782238&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYDz-WY7-GFx6IoWj7EgGd_EGXykUJjeN_fpq4dT6S8F2Q&oe=67C6AC31&_nc_sid=1e20d2,No,No,2948.0,22.0,"Your Pet needs a Vet. 🐾
9676755544
Dr.Ramesh | Veterinary Surgeon",mrvethospital@gmail.com,294.0,91.0,9676755544.0,Hyderabad,"#4-92, Behind Dog Park, Jayabheri Enclaves, Gachibowli",NO,YES,
46212128159,bakery_expo,Bakers Technology Fair,https://www.instagram.com/bakery_expo/,https://scontent-bom1-2.cdninstagram.com/v/t51.2885-19/457379903_3152020608268209_5854382982079381070_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=109&_nc_ohc=kt4osnsiBjAQ7kNvgGbh5qV&_nc_gid=d63237d216194bacbab014f83128f7f7&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYC2LkcnYmcD3PJA4aZHB9dZAGuV0MEnSx6Y5qNDvEmhZQ&oe=678B2911&_nc_sid=1e20d2,No,No,903,8,"A leading event connecting the value chain of bakery, Confectionery, sweet and snack market",btf.expo@gmail.com,106.0,91.0,9551665442.0,,,NO,YES,
58240677798,thesweethourbakery,The Sweet Hour,https://www.instagram.com/thesweethourbakery/,https://scontent-bom2-1.cdninstagram.com/v/t51.2885-19/453190463_1021827679528892_2708761244866497358_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=-r2CT049KSoQ7kNvgFZ9hih&_nc_gid=9a23d5e9291d4eefb54114f1b4953714&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYDoHxwuI8WFuFQzWmxiSrYH8bF71L1soSD3AN6v2zb_DA&oe=678B117B&_nc_sid=1e20d2,No,No,210,353,"🍪 #1 Eggless NYC Cookies In Town
💕 Indulge in 14+ Flavours
👌 1000+ Cookies Sold
💌 DM for Orders
Find Us on Swiggy & Zomato!",thesweethourkolkata@gmail.com,424.0,91.0,6290212270.0,Kolkata,,NO,YES,https://linktr.ee/thesweethour
6309647758,technotronics_technologies_llp,Technotronics Technologies,https://www.instagram.com/technotronics_technologies_llp/,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/277856947_511684393697043_7062200699794840987_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=103&_nc_ohc=aUlTUV194gkQ7kNvgGwDA8e&_nc_gid=7acc4c13fd27475a816da13cb0dd410e&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYAExXkJ6eNStmUGoYkmPzM3mAdeR4KH5SwLeR9RH_jo9Q&oe=678B1664&_nc_sid=1e20d2,No,No,182,169,"Leading manufacturer of bakery machines, Food processing machineries and Bakery industry automation",technotronics.robots@gmail.com,84.0,91.0,9049252601.0,Satara,"P-61, additional, midc",NO,YES,
17589552189,_artesse_,Artesse | Desserts & Artistic Cakes,https://www.instagram.com/_artesse_/,https://scontent-bom2-2.cdninstagram.com/v/t51.2885-19/447915498_380076345054071_7955671501725433173_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-2.cdninstagram.com&_nc_cat=111&_nc_ohc=S70E89LjqZMQ7kNvgFaWdtK&_nc_gid=e962f1e41616494a9310ae2479d3452c&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYC49Jkjrs7Cw_LoRtqREk5xv4WwSB2Q2ySTddWj31J2-g&oe=678B0EBE&_nc_sid=1e20d2,No,No,1733,96,"Serving freshly baked desserts everyday!
🔹11 AM-8 PM
🔹Custom Cakes 2-3 days ahead!
🔹We ship cookies and brownies PAN INDIA!
📍Raipur, Chhattisgarh",support@artesse.co.in,662.0,91.0,9343870581.0,Raipur,"S-11, First Floor, Rajeev Nagar",NO,YES,https://www.artesse.co.in/
67223215441,e_v_a_n_m.t_baking_toools,Evan Baking,https://www.instagram.com/e_v_a_n_m.t_baking_toools/,https://scontent-bom2-2.cdninstagram.com/v/t51.2885-19/453756767_1216136722717691_5649145382342179878_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-2.cdninstagram.com&_nc_cat=111&_nc_ohc=oW1F6_U59QgQ7kNvgFYv-22&_nc_gid=9e13b7742bc9408382cdfba8ed06d2b9&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYCVo4hoSm-3x6sXgBLkXiJL2tRS9zUG7URrMxUjxKhrLA&oe=678B14A8&_nc_sid=1e20d2,No,No,1031,29,"#💜ALL BAKING TOOLS & ACCESORIES💜
💜ONLINE ORDER ACCEPTED💜
#baking #bakinglife #bakery #cafe 
#bakinglove#bakingtools #💜💜💜💜",evanmachinetools@gmail.com,61.0,91.0,9301740148.0,"Indore, India","UG-5, 246 ASHRAF COMPLEX NAYAPURA MAIN ROAD",NO,YES,
68484160195,nidhivan_food_machinery,Nidhivan™️ Food Machinery,https://www.instagram.com/nidhivan_food_machinery/,https://scontent-bom2-4.cdninstagram.com/v/t51.2885-19/454716623_1028916429238434_2988321707917792749_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-4.cdninstagram.com&_nc_cat=106&_nc_ohc=1s5HnZjXkWAQ7kNvgHm1X2o&_nc_gid=6ade1982af6949af94937925f668f4fb&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYDBTyRtCgKT_4k1TdO6oUEjObfKcu24m5fhe9XAcF4ZHw&oe=678B2F4C&_nc_sid=1e20d2,No,No,100,507,BAKERY MACHINES|| NAMKEEN MAKING MACHINES|| COMMERCIAL KITCHEN EQUIPMENTS|| COMMERCIAL KITCHEN SETUP|| ALL TYPE OF FOOD PROCESSING MACHINES,t.dmakhijainternational159@gmail.com,11.0,91.0,9839939853.0,"Kanpur, Uttar Pradesh","Vinayak Shree ,NRI CITY,MAINAWATI MARG,KANPUR",NO,YES,https://youtube.com/@nidhivanfoodmachine?si=14bbxIs0am3_dOoN
60892870258,rotobake,ROTOBAKE BAKING EQUIPMENT,https://www.instagram.com/rotobake/,https://scontent-bom2-4.cdninstagram.com/v/t51.2885-19/427202311_292930903505546_381353195740464561_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-4.cdninstagram.com&_nc_cat=102&_nc_ohc=9xjdCP1aZbMQ7kNvgGrYDVi&_nc_gid=3b2a241bba9a4c6ea16f280c9a51724e&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYBqPMaEjA5_7Yx4a57wF7dRPYY7erdvloDT2_OmmCVebg&oe=678B29C1&_nc_sid=1e20d2,No,No,23,243,Revolutionizing baking with precision and innovation 🍞 India’s Leaders in bakery machine manufacturing since  1965 🏭,info@rotobake.com,8.0,91.0,8447443445.0,"Delhi, India",A-103/4 Okhla Industrial Area Phase-II,NO,YES,http://www.rotobake.com
39857328683,ace.technologies.group,Ace Technologies Group,https://www.instagram.com/ace.technologies.group/,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/240943877_565150271430937_1450590402850313547_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=101&_nc_ohc=-vxvWsmo_fAQ7kNvgEoMt8b&_nc_gid=44cbb611b9174a18a8a07da644402d0f&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYCLxq7R0f_FY-tmr_m85ewWy6_JnVO25lFmW5NxEX0Ikg&oe=678B19D6&_nc_sid=1e20d2,No,No,364,235,"Promising technological innovations in the Pharma, F&B, Cosmetics, and HoReCa industries,  We eagerly anticipate collaborating with you.",marcom@acetechnologiesgroup.com,404.0,91.0,2241546111.0,"Mumbai, Maharashtra","B-512, Western Edge, Next To Metro Mall, Borivali East, Mumbai, Maharashtra- 400066",NO,YES,http://www.acetechnologiesgroup.com/
6887422720,basakbakerymachines,Basak Bakery Equipment,https://www.instagram.com/basakbakerymachines/,https://scontent-bom1-2.cdninstagram.com/v/t51.2885-19/89695169_187285129364880_6042887331839475712_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=2cE94yitQyQQ7kNvgFZ9UaD&_nc_gid=381d8f92a65742759b5d03d6ec15e071&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYCOpy911pvTtH40pIibDLgjY74gxWat6n2nScdIYY_pSg&oe=678B27FE&_nc_sid=1e20d2,No,No,1131,2219,"Spiral And Fork Mixer Manufacturer / Exporter/ Since 1957
📲 +90 (224)  441 09 70 
📧 info@basakhamur.com",info@basakhamur.com,157.0,90.0,5322613830.0,Bursa,Üçevler mahallesi Beşevler Sanayi Sitesi 28.blok no 43,NO,YES,http://www.basakhamur.com/
8977630014,bakers_mart_assam,"Bakers_Mart, Assam",https://www.instagram.com/bakers_mart_assam/,https://scontent-bom2-1.cdninstagram.com/v/t51.2885-19/61182920_1169088469945736_5095683280263446528_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=FSki3NZUCjoQ7kNvgGS6x0l&_nc_gid=92be9b093765453090af281fceae843c&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYA9PsPGxr8yYSlCzTRLO1g_f9sxinGO08jmzKl5LORioQ&oe=678B4320&_nc_sid=1e20d2,No,No,1875,1440,,bakersmart.ghy@gmail.com,501.0,,,Gauhati,"Bakers Mart, Near Kali Mandir, Rukhminigaon, Dispur",NO,YES,
11303938146,citibakersmeerut,CITI BAKERS,https://www.instagram.com/citibakersmeerut/,https://scontent-bom2-4.cdninstagram.com/v/t51.2885-19/434693101_1085211432786758_7471009778041285183_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-bom2-4.cdninstagram.com&_nc_cat=102&_nc_ohc=SGxoT3tNd2cQ7kNvgEBlQCB&_nc_gid=51955b2419d74f5f8d435689f82b39f9&edm=AEF8tYYBAAAA&ccb=7-5&oh=00_AYCqTDuwGmSaxFsax1zLTKZnuhfBT3BlLtOOCPiRjRE7rA&oe=678B37EB&_nc_sid=1e20d2,No,No,573,461,"Satisfying your sweet tooth with every bite!
We're not just baking, we're creating art.",citybakersmeerut@gmail.com,248.0,91.0,9897633684.0,Meerut,"Central Market, Opp Ramnath Laddu Hanuman chowk, Bomby bazar",NO,YES,
